"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"371.141.194,86";"29.147.396,78";"8.310.712,70";"33.488.795,63";
"08/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"2.529.478,96";"31.840.929,90";"23.299.637,08";"1.094.926,66";
"03/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"992.277,65";"29.923.356,24";"29.387.075,96";"1.529.405,32";
"04/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"8.762.140,62";"30.079.493,89";"30.056.639,78";"1.516.296,13";
"06/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"4.032.903,13";"39.340.082,10";"33.303.558,61";"2.546.513,47";
"05/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"655.421,03";"32.954.233,90";"30.015.222,93";"596.857,14";
"07/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"2.796.717,05";"31.461.966,19";"38.997.596,03";"869.505,44";
"02/2019";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"3.977.952,68";"28.928.616,79";"28.586.691,42";"1.784.090,40";
"07/2019";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"3.543.100,39";"35.589.646,30";"42.041.474,74";"1.063.427,11";
"01/2019";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"396.433.074,39";"31.266.694,74";"9.185.089,91";"36.979.799,42";
