name,initials,state,SIAFI,year,igc_cont_value,committed,settled,paid
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,26276,2014,3.093,786896061.11,748617428.94,738880562.48
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,26281,2014,3.045,601789410.23,571544275.06,563898673.4
UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,26270,2014,2.824,660304386.85,614346786.74,598216506.94
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI,26279,2014,2.758,666809425.5,604050177.13,596178762.13
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,26277,2014,3.603,356611143.65,346159667.69,340844735.39
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,26282,2014,4.046,737269848.43,707678414.15,688718673.45
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,26273,2014,3.25,487782233.47,443262842.87,443262842.87
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,26274,2014,3.642,1185509022.43,1136541274.76,1117063719.54
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG,26285,2014,3.264,225673283.41,211091573.09,206723060.97
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,26272,2014,2.816,812449749.88,757324229,735034126.21
UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,26275,2014,2.641,282015789.28,245207822.31,243110257.3
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,26239,2014,3.038,1176148715.7,1117420322.23,1113056420.94
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,26243,2014,3.634,1516678463.38,1417399590.99,1405524008.77
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,26241,2014,3.728,1554829438.76,1508356667.87,1491774662.73
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,26236,2014,3.335,1829430122.1,1774279786.44,1769719504.72
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,26234,2014,3.217,916948825.45,883749535.18,876437567.41
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,26249,2014,3.444,525348170.53,496438311.4,496000858.95
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,26238,2014,4.183,2117194505.68,2023448662.34,2002568644.77
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,26237,2014,3.816,895077964.94,794951236.81,779521931.98
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,26231,2014,2.853,755033634.5,720493792.42,712592314.22
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,26232,2014,3.538,1609313881.3,1555343278.1,1519213414.09
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB,26240,2014,3.399,1391607308.62,1338915792.71,1325571284.96
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,26242,2014,3.755,1474320441.33,1377998484.47,1377121649.79
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,26244,2014,4.286,1528089812.79,1472393931.26,1454746198.24
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,26247,2014,3.8,1133687020.07,1094654014.45,1081932340.65
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,26233,2014,3.679,1452827709.51,1360026773.96,1351016452.25
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,26235,2014,3.482,1196066821.44,1122934595.65,1117768036.55
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,26246,2014,4.093,1461166934.23,1341987144.27,1334571546.26
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,26245,2014,4.1,3313796923.33,3177055044.95,3164430361.08
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,26248,2014,3.279,494577343.24,456359865.93,453930264.34
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,26264,2014,3.359,222069410.63,195234876.56,195227976.01
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,26253,2014,2.554,176680511.88,162485668.01,160938138.53
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,26262,2014,4.157,1111915225.28,1073008685.99,1073008685.99
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,26263,2014,3.882,325708171,249625679.81,249625301.31
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,MG,26260,2014,3.382,176367632.39,162809163.38,162809163.38
