Ano,Código da Área,Área de Enquadramento,Código da IES,Nome da IES,Sigla da IES,Categoria Administrativa,Organização Acadêmica,Código do Município,Município do Curso,UF do curso,Região do curso,Número de cursos da unidade,Concluintes Inscritos,Concluintes Participantes,Nota Bruta - FG,Nota Bruta - CE,Nota Bruta - Geral,Nota Contínua do Enade,Nota Bruta - Organização Didático-Pedagógica,Nota Padronizada - Organização Didático-Pedagógica,Nota Bruta - Infraestrutura e Instalações Físicas,Nota Padronizada - Infraestrutura e Instalações Físicas,Nota Bruta - Oportunidades de Ampliação da Formação,Nota Padronizada - Oportunidades de Ampliação da Formação,Concluintes Participantes com nota no Enem,Percentual de Concluintes participantes com nota no Enem,Nota Bruta - IDD,Nota Padronizada - IDD,Nr. de Docentes,Nr. de Matrículas,Nota Bruta - Mestres,Nota Padronizada - Mestres,Nota Bruta - Doutores,Nota Padronizada - Doutores,Nota Bruta - Regime de Trabalho,Nota Padronizada - Regime de Trabalho,CPC Contínuo,CPC Faixa,Observação
2014,21,ARQUITETURA E URBANISMO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pessoa Jurídica de Direito Público - Federal,Universidade,5103403,CUIABA,MT,Centro-Oeste,1,42,40,67.4300,54.8650,58.0325,4.0518,4.4955,1.1645,3.2837,0.2369,4.3368,2.4001,32,80.0%,0.1385,2.8933,38,273,0.7632,3.0263,0.3158,1.7961,1.0000,5.0000,2.8536,3,
2014,21,ARQUITETURA E URBANISMO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Pessoa Jurídica de Direito Público - Federal,Universidade,5300108,BRASILIA,DF,Centro-Oeste,2,123,111,60.6874,51.7315,53.9775,3.3949,4.8096,1.9652,4.2153,1.8704,5.0644,3.5375,13,11.7%,,3.3949,478,760,0.9268,4.3898,0.6653,3.7837,1.0000,5.0000,3.4683,4,
2014,21,ARQUITETURA E URBANISMO,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pessoa Jurídica de Direito Público - Federal,Universidade,2803609,LARANJEIRAS,SE,Nordeste,1,60,39,54.4872,43.4974,46.2590,2.0709,4.3564,0.8100,3.4943,0.6063,4.3095,2.3574,6,15.4%,,2.0709,24,273,0.9167,4.3056,0.4167,2.3698,1.0000,5.0000,2.3424,3,
2014,21,ARQUITETURA E URBANISMO,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pessoa Jurídica de Direito Público - Federal,Universidade,1302603,MANAUS,AM,Norte,1,17,17,67.2706,51.5765,55.5000,3.6039,5.1049,2.7180,4.0370,1.5578,5.0902,3.5778,17,100.0%,0.4957,3.0790,22,219,0.7273,2.7273,0.1818,1.0341,1.0000,5.0000,,,Unidade sem curso(s) reconhecido(s) até 31/12/2014
2014,21,ARQUITETURA E URBANISMO,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pessoa Jurídica de Direito Público - Federal,Universidade,2211001,TERESINA,PI,Nordeste,1,26,17,63.2235,52.1118,54.9059,3.5346,4.6173,1.4750,4.4442,2.2718,4.9544,3.3655,4,23.5%,-1.8480,1.8604,60,218,0.7833,3.1944,0.3833,2.1802,1.0000,5.0000,2.6080,3,
2014,21,ARQUITETURA E URBANISMO,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pessoa Jurídica de Direito Público - Federal,Universidade,3146107,OURO PRETO,MG,Sudeste,1,51,47,67.4064,51.4766,55.4766,3.5952,5.0511,2.5808,4.6314,2.6002,4.9419,3.3459,17,36.2%,-1.4994,2.0416,55,401,0.9273,4.3939,0.5818,3.3091,1.0000,5.0000,3.0417,4,
2014,21,ARQUITETURA E URBANISMO,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pessoa Jurídica de Direito Público - Federal,Universidade,3171303,VICOSA,MG,Sudeste,1,25,22,64.6318,52.8091,55.7727,3.6775,4.9126,2.2277,4.2725,1.9708,5.0667,3.5410,9,40.9%,2.0989,3.9126,31,216,0.9032,4.1935,0.6452,3.6694,1.0000,5.0000,3.6990,4,
2014,21,ARQUITETURA E URBANISMO,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pessoa Jurídica de Direito Público - Estadual,Universidade,4113700,LONDRINA,PR,Sul,1,62,59,63.8763,48.1763,52.1119,3.0281,4.3237,0.7265,4.1934,1.8322,4.2278,2.2297,24,40.7%,-1.9811,1.7912,54,361,0.9259,4.3827,0.5370,3.0544,1.0000,5.0000,2.5962,3,
2014,21,ARQUITETURA E URBANISMO,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Privada sem fins lucrativos,Universidade,4106902,CURITIBA,PR,Sul,1,173,167,54.2371,45.1419,47.4275,2.2833,4.8318,2.0218,4.5568,2.4694,4.8089,3.1381,78,46.7%,-0.5583,2.5310,99,"1,259",0.8081,3.4007,0.2525,1.4362,0.8182,3.9773,2.4648,3,
2014,21,ARQUITETURA E URBANISMO,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada sem fins lucrativos,Universidade,2611606,RECIFE,PE,Nordeste,1,79,73,48.3178,40.8658,42.7370,1.5015,4.8983,2.1913,4.4985,2.3671,4.2209,2.2188,24,32.9%,-3.0904,1.2144,34,445,0.9412,4.5098,0.4118,2.3419,0.4412,1.8566,1.8923,2,
2014,21,ARQUITETURA E URBANISMO,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada sem fins lucrativos,Universidade,4305108,CAXIAS DO SUL,RS,Sul,1,120,115,59.6043,46.8357,50.0391,2.6986,4.9622,2.3543,4.3668,2.1361,4.3780,2.4644,10,8.7%,,2.6986,56,656,0.9286,4.4048,0.3571,2.0313,0.5714,2.5893,2.6585,3,
2014,21,ARQUITETURA E URBANISMO,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Privada sem fins lucrativos,Universidade,4318705,SAO LEOPOLDO,RS,Sul,1,144,138,60.5790,46.3464,49.9138,2.6668,5.3090,3.2385,5.3464,3.8540,4.9834,3.4109,12,8.7%,,2.6668,73,"1,393",0.9452,4.5434,0.3562,2.0257,0.9589,4.7688,2.9899,4,
2014,21,ARQUITETURA E URBANISMO,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pessoa Jurídica de Direito Público - Federal,Universidade,3170206,UBERLANDIA,MG,Sudeste,1,26,25,68.8680,59.1600,61.6080,4.6796,4.8813,2.1480,3.7903,1.1253,4.9943,3.4278,9,36.0%,3.2567,4.5146,32,234,0.8750,3.9583,0.6875,3.9102,1.0000,5.0000,4.0775,5,
2014,21,ARQUITETURA E URBANISMO,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Privada sem fins lucrativos,Universidade,4314407,PELOTAS,RS,Sul,1,37,35,60.2714,48.1286,51.1800,2.8958,5.3582,3.3638,5.1923,3.5837,4.8570,3.2132,23,65.7%,1.6615,3.6851,39,248,0.8718,3.9316,0.2308,1.3125,0.8718,4.2788,3.1934,4,
