Ano,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Código da Área,Área de Enquadramento,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Concluintes Inscritos,Concluintes Participantes,Nota Bruta - FG,Nota Bruta - CE,Nota Contínua do Enade,Concluintes Participantes com nota no Enem,Percentual de Concluintes participantes com nota no Enem,Nota Bruta - IDD,Nota Padronizada - IDD,Nota Bruta - Organização Didático-Pedagógica,Nota Padronizada - Organização Didático-Pedagógica,Nota Bruta - Infraestrutura e Instalações Físicas,Nota Padronizada - Infraestrutura e Instalações Físicas,Nota Bruta - Oportunidades de Ampliação da Formação,Nota Padronizada - Oportunidades de Ampliação da Formação,Nr. de Docentes,Nota Bruta - Mestres,Nota Padronizada - Mestres,Nota Bruta - Doutores,Nota Padronizada - Doutores,Nota Bruta - Regime de Trabalho,Nota Padronizada - Regime de Trabalho,CPC Contínuo,CPC Faixa,Obs
2015,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Federal,13,1,ADMINISTRAÇÃO,Educação Presencial,5103403,CUIABA,MT,76,66,66.6909,51.4167,4.3246,62,0.9394,0.5804,2.8221,4.4822,1.0316,4.3745,2.0754,4.2025,2.3869,31,0.7419,3.5806,0.2581,1.4516,1.0000,5.0000,2.9547,4,
2015,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Federal,1127343,1,ADMINISTRAÇÃO,Educação Presencial,5107602,RONDONOPOLIS,MT,22,22,58.1682,42.2955,2.9243,20,0.9091,0.8245,2.9475,5.4452,3.5495,5.1398,3.4524,4.9351,3.4518,24,0.8750,4.3125,0.2083,1.1719,1.0000,5.0000,3.0158,4,
2015,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Federal,145,1,ADMINISTRAÇÃO,Educação Presencial,5300108,BRASILIA,DF,232,157,65.9943,56.0401,4.8173,84,0.5350,0.5308,2.7965,4.3250,0.6205,3.9891,1.3820,4.1427,2.2998,133,0.9850,4.9173,0.7293,4.1024,1.0000,5.0000,3.4745,4,
2015,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Federal,305,1,ADMINISTRAÇÃO,Educação Presencial,2806701,SAO CRISTOVAO,SE,109,86,52.8500,40.0081,2.4355,44,0.5116,-1.1709,1.9219,4.5206,1.1321,4.1834,1.7317,4.1241,2.2728,33,0.9091,4.5000,0.4242,2.3864,1.0000,5.0000,2.4585,3,
2015,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Federal,20762,1,ADMINISTRAÇÃO,Educação Presencial,2806701,SAO CRISTOVAO,SE,86,54,54.3315,40.9130,2.6020,14,0.2593,-3.4454,0.7528,4.4540,0.9579,4.1124,1.6040,4.0086,2.1049,30,0.8333,4.0833,0.4333,2.4375,1.0000,5.0000,2.0354,3,
2015,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Federal,95033,1,ADMINISTRAÇÃO,Educação Presencial,2802908,ITABAIANA,SE,54,37,55.4351,37.8324,2.3014,8,0.2162,-0.4305,2.3024,4.3585,0.7082,3.7943,1.0317,3.7259,1.6940,24,0.7917,3.8542,0.2083,1.1719,1.0000,5.0000,2.2530,3,
2015,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Federal,392,1,ADMINISTRAÇÃO,Educação Presencial,1302603,MANAUS,AM,183,154,61.3708,45.1617,3.3871,124,0.8052,0.0808,2.5652,4.8034,1.8715,4.1210,1.6194,4.2958,2.5225,72,0.7639,3.7014,0.3194,1.7969,1.0000,5.0000,2.7818,3,
2015,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Federal,101608,1,ADMINISTRAÇÃO,Educação Presencial,1300607,BENJAMIN CONSTANT,AM,66,60,53.2217,37.4800,2.1657,28,0.4667,0.7906,2.9301,5.1095,2.6717,4.6808,2.6265,4.4708,2.7769,16,0.1875,0.5313,0.0000,0.0000,1.0000,5.0000,2.2747,3,
2015,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Federal,112106,1,ADMINISTRAÇÃO,Educação Presencial,1303403,PARINTINS,AM,75,60,56.7467,35.5167,2.0963,33,0.5500,-0.2542,2.3930,4.9500,2.2548,4.2076,1.7752,4.1177,2.2636,15,0.5333,2.4333,0.0000,0.0000,1.0000,5.0000,,Curso não reconhecido até 31/12/2015,
2015,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Federal,1104306,1,ADMINISTRAÇÃO,Educação a Distância,1302603,MANAUS,AM,17,1,,,,,,,,6.0000,5.0000,6.0000,5.0000,6.0000,5.0000,9,1.0000,5.0000,0.8889,5.0000,1.0000,5.0000,,SC,
2015,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Federal,500,1,ADMINISTRAÇÃO,Educação Presencial,2207702,PARNAIBA,PI,36,28,53.5536,37.4357,2.1751,19,0.6786,-1.2427,1.8850,4.8139,1.8989,4.6397,2.5526,4.1039,2.2436,31,0.6129,2.8710,0.1935,1.0887,1.0000,5.0000,2.1745,3,
2015,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Federal,18373,1,ADMINISTRAÇÃO,Educação Presencial,2211001,TERESINA,PI,87,57,62.6912,45.9702,3.5356,37,0.6491,-0.0746,2.4853,4.5824,1.2935,4.3003,1.9419,3.7430,1.7189,64,0.7656,3.7109,0.2031,1.1426,1.0000,5.0000,2.6388,3,
2015,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Federal,99870,1,ADMINISTRAÇÃO,Educação Presencial,2208007,PICOS,PI,46,35,54.4857,38.0143,2.2809,21,0.6000,-0.6950,2.1665,4.8112,1.8918,4.7197,2.6965,3.9738,2.0544,27,0.5556,2.5556,0.0000,0.0000,1.0000,5.0000,2.1092,3,
2015,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Federal,108006,1,ADMINISTRAÇÃO,Educação a Distância,2211001,TERESINA,PI,9,0,,,,,,,,,0.0000,,0.0000,,0.0000,7,0.8571,4.2143,0.2857,1.6071,1.0000,5.0000,,SC,
2015,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Federal,116640,1,ADMINISTRAÇÃO,Educação Presencial,2203909,FLORIANO,PI,109,69,54.5174,37.0130,2.1690,65,0.9420,-0.2798,2.3799,4.8444,1.9785,4.8711,2.9689,4.1725,2.3432,21,0.5714,2.6429,0.0476,0.2679,1.0000,5.0000,2.2356,3,
2015,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Federal,112594,1,ADMINISTRAÇÃO,Educação Presencial,3140001,MARIANA,MG,98,85,60.5600,44.3388,3.2589,51,0.6000,-0.1651,2.4388,4.9156,2.1648,4.7161,2.6900,4.5844,2.9421,33,0.8182,4.0000,0.6061,3.4091,1.0000,5.0000,3.0622,4,
2015,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Federal,115084,1,ADMINISTRAÇÃO,Educação Presencial,3552205,SOROCABA,SP,69,64,66.6891,58.8531,4.9178,55,0.8594,0.1791,2.6158,4.9351,2.2158,4.6937,2.6497,4.8185,3.2823,30,1.0000,5.0000,0.9667,5.0000,1.0000,5.0000,3.7798,4,
2015,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Federal,683,1,ADMINISTRAÇÃO,Educação Presencial,3171303,VICOSA,MG,79,74,66.5095,55.8932,4.8229,69,0.9324,0.5051,2.7833,4.5742,1.2723,4.5936,2.4696,4.3027,2.5325,25,0.9200,4.5600,0.7200,4.0500,1.0000,5.0000,3.5455,4,
