Ano,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Código da Área,Área de Enquadramento,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Concluintes Inscritos,Concluintes Participantes,Nota Bruta - FG,Nota Bruta - CE,Nota Contínua do Enade,Concluintes Participantes com nota no Enem,Percentual de Concluintes participantes com nota no Enem,Nota Bruta - IDD,Nota Padronizada - IDD,Nota Bruta - Organização Didático-Pedagógica,Nota Padronizada - Organização Didático-Pedagógica,Nota Bruta - Infraestrutura e Instalações Físicas,Nota Padronizada - Infraestrutura e Instalações Físicas,Nota Bruta - Oportunidades de Ampliação da Formação,Nota Padronizada - Oportunidades de Ampliação da Formação,Nr. de Docentes,Nota Bruta - Mestres,Nota Padronizada - Mestres,Nota Bruta - Doutores,Nota Padronizada - Doutores,Nota Bruta - Regime de Trabalho,Nota Padronizada - Regime de Trabalho,CPC Contínuo,CPC Faixa,Observação
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,37,5,MEDICINA VETERINÁRIA,Educação Presencial,5103403,CUIABÁ,MT,29,29,50.7690,51.5103,3.0492,27,0.9310,-0.8728,1.9397,3.9259,0.0000,3.6703,0.6282,4.1179,2.2521,49,0.9592,4.3663,0.8980,4.4202,1.0000,5.0000,2.7420,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,100763,5,MEDICINA VETERINÁRIA,Educação Presencial,5107909,SINOP,MT,31,30,48.4467,51.5567,2.9662,25,0.8333,-0.3635,2.3231,4.3597,1.0457,4.1380,1.5058,3.9664,2.0309,38,1.0000,5.0000,0.8684,4.2524,1.0000,5.0000,2.9987,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,12,12,MEDICINA,Educação Presencial,5103403,CUIABÁ,MT,35,33,63.1667,68.5061,2.9378,31,0.9394,-3.4093,0.0000,4.5617,1.1332,4.1163,1.6325,4.0007,1.6271,27,0.7778,3.4993,0.5926,2.9092,1.0000,5.0000,1.8687,2,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,9,17,AGRONOMIA,Educação Presencial,5103403,CUIABÁ,MT,54,52,55.7135,63.8365,3.4070,44,0.8462,-0.2610,2.6986,4.9104,1.6420,4.4353,2.1950,4.4233,2.3031,69,0.9130,3.9752,0.8261,4.0847,1.0000,5.0000,3.2022,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,100778,17,AGRONOMIA,Educação Presencial,5107909,SINOP,MT,81,76,47.3342,59.2789,2.5755,62,0.8158,-1.4332,1.9905,4.8231,1.3729,4.2934,1.9407,4.3877,2.2422,61,0.9508,4.4204,0.7705,3.7921,1.0000,5.0000,2.7432,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,116662,17,AGRONOMIA,Educação Presencial,5101803,BARRA DO GARÇAS,MT,20,17,48.6294,58.9824,2.5939,15,0.8824,-1.8128,1.7612,4.8649,1.5016,3.7926,1.0428,3.7525,1.1558,22,0.9091,3.9286,0.8182,4.0431,1.0000,5.0000,2.6049,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,21442,19,FARMÁCIA,Educação Presencial,5106653,PONTAL DO ARAGUAIA,MT,15,13,47.1692,52.9308,2.6685,13,1.0000,-0.3475,2.2624,5.4877,3.4496,4.5013,1.8912,5.1730,3.6390,26,0.8846,3.7413,0.7308,3.6538,1.0000,5.0000,2.9735,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,116720,19,FARMÁCIA,Educação Presencial,5107909,SINOP,MT,19,19,60.3842,62.0789,4.0412,19,1.0000,0.8062,2.7639,4.6410,0.8872,4.3094,1.4931,4.6241,2.7355,36,0.9444,4.3939,0.8333,4.1667,1.0000,5.0000,3.3147,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,17,23,ENFERMAGEM,Educação Presencial,5103403,CUIABÁ,MT,29,28,48.1214,46.9786,3.0285,27,0.9643,-0.1876,2.4153,5.3349,2.5040,5.0973,3.0448,4.6946,2.7621,44,0.8636,4.0762,0.5227,2.6136,1.0000,5.0000,2.9329,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,100770,23,ENFERMAGEM,Educação Presencial,5107909,SINOP,MT,12,12,39.2417,55.0917,3.6028,11,0.9167,1.3797,3.1530,5.5957,3.4826,5.1509,3.1608,5.3778,3.9333,39,0.8462,3.9578,0.5385,2.6923,1.0000,5.0000,3.4174,4,
