Sigla da IES,Ano,Código da Área,Área de Avaliação,CPC Contínuo,CPC Faixa
UFMT,2017,21,ARQUITETURA E URBANISMO,2.8917,3
UNB,2017,21,ARQUITETURA E URBANISMO,3.2611,4
UNB,2017,21,ARQUITETURA E URBANISMO,2.9394,3
UFS,2017,21,ARQUITETURA E URBANISMO,2.9489,4
UFAM,2017,21,ARQUITETURA E URBANISMO,2.4111,3
UFPI,2017,21,ARQUITETURA E URBANISMO,2.7361,3
UFOP,2017,21,ARQUITETURA E URBANISMO,3.2081,4
UFV,2017,21,ARQUITETURA E URBANISMO,3.6232,4
UEL,2017,21,ARQUITETURA E URBANISMO,2.2976,3
PUCPR,2017,21,ARQUITETURA E URBANISMO,2.6446,3
UNICAP,2017,21,ARQUITETURA E URBANISMO,2.8428,3
UCS,2017,21,ARQUITETURA E URBANISMO,2.9063,3
UCS,2017,21,ARQUITETURA E URBANISMO,1.9318,2
UNISINOS,2017,21,ARQUITETURA E URBANISMO,2.7486,3
UCP,2017,21,ARQUITETURA E URBANISMO,2.5108,3
UFU,2017,21,ARQUITETURA E URBANISMO,2.9977,4
UCPEL,2017,21,ARQUITETURA E URBANISMO,2.4239,3
PUC-CAMPINAS,2017,21,ARQUITETURA E URBANISMO,2.6364,3
UPF,2017,21,ARQUITETURA E URBANISMO,2.5883,3
PUCRS,2017,21,ARQUITETURA E URBANISMO,2.6135,3
MACKENZIE,2017,21,ARQUITETURA E URBANISMO,3.0114,4
FEEVALE,2017,21,ARQUITETURA E URBANISMO,2.5859,3
UDESC,2017,21,ARQUITETURA E URBANISMO,2.3848,3
UEG,2017,21,ARQUITETURA E URBANISMO,2.7513,3
UNICAMP,2017,21,ARQUITETURA E URBANISMO,3.5083,4
UNESP,2017,21,ARQUITETURA E URBANISMO,3.4764,4
UNESP,2017,21,ARQUITETURA E URBANISMO,3.5494,4
UEM,2017,21,ARQUITETURA E URBANISMO,4.1184,5
FURB,2017,21,ARQUITETURA E URBANISMO,2.3926,3
UNIVILLE,2017,21,ARQUITETURA E URBANISMO,2.2568,3
UNOESC,2017,21,ARQUITETURA E URBANISMO,2.5412,3
UNOESC,2017,21,ARQUITETURA E URBANISMO,2.7118,3
UNOESC,2017,21,ARQUITETURA E URBANISMO,2.3182,3
UNIVALI,2017,21,ARQUITETURA E URBANISMO,2.7928,3
UNIFEBE,2017,21,ARQUITETURA E URBANISMO,2.9546,4
UFSJ,2017,21,ARQUITETURA E URBANISMO,3.3134,4
UNIARA,2017,21,ARQUITETURA E URBANISMO,2.2549,3
UNAR,2017,21,ARQUITETURA E URBANISMO,2.9292,3
USC,2017,21,ARQUITETURA E URBANISMO,3.1155,4
CBM,2017,21,ARQUITETURA E URBANISMO,2.1814,3
UNITRI,2017,21,ARQUITETURA E URBANISMO,2.4185,3
UNIUBE,2017,21,ARQUITETURA E URBANISMO,2.5178,3
UNIRP,2017,21,ARQUITETURA E URBANISMO,2.1213,3
UNISO,2017,21,ARQUITETURA E URBANISMO,2.5489,3
FEBASP,2017,21,ARQUITETURA E URBANISMO,2.5994,3
UNESA,2017,21,ARQUITETURA E URBANISMO,2.6648,3
UNESA,2017,21,ARQUITETURA E URBANISMO,2.283,3
UNESA,2017,21,ARQUITETURA E URBANISMO,2.3177,3
UNESA,2017,21,ARQUITETURA E URBANISMO,2.3912,3
USJT,2017,21,ARQUITETURA E URBANISMO,3.1776,4
CUML,2017,21,ARQUITETURA E URBANISMO,2.5772,3
CEUNIH,2017,21,ARQUITETURA E URBANISMO,2.3091,3
CEUNIH,2017,21,ARQUITETURA E URBANISMO,2.1263,3
UNICSUL,2017,21,ARQUITETURA E URBANISMO,2.5372,3
UNIFEV,2017,21,ARQUITETURA E URBANISMO,2.4974,3
UNISANTOS,2017,21,ARQUITETURA E URBANISMO,3.0847,4
USU,2017,21,ARQUITETURA E URBANISMO,2.2256,3
FIO,2017,21,ARQUITETURA E URBANISMO,3.0431,4
UNIMEP,2017,21,ARQUITETURA E URBANISMO,2.6644,3
FACCAT,2017,21,ARQUITETURA E URBANISMO,1.8339,2
UNOESTE,2017,21,ARQUITETURA E URBANISMO,2.7376,3
UNIVAP,2017,21,ARQUITETURA E URBANISMO,2.5333,3
UNISUAM,2017,21,ARQUITETURA E URBANISMO,2.2555,3
UNISC,2017,21,ARQUITETURA E URBANISMO,2.6862,3
URCAMP,2017,21,ARQUITETURA E URBANISMO,1.6808,2
,2017,21,ARQUITETURA E URBANISMO,3.2168,4
UNINOVE,2017,21,ARQUITETURA E URBANISMO,3.1185,4
UNIP,2017,21,ARQUITETURA E URBANISMO,2.2481,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.8908,3
UNIP,2017,21,ARQUITETURA E URBANISMO,3.0911,4
UNIP,2017,21,ARQUITETURA E URBANISMO,2.817,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.5134,3
UNIP,2017,21,ARQUITETURA E URBANISMO,3.1645,4
UNIP,2017,21,ARQUITETURA E URBANISMO,2.5819,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.2097,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.2308,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.9325,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.4524,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.516,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.6779,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.5357,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.626,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.15,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.4632,3
UNIP,2017,21,ARQUITETURA E URBANISMO,3.516,4
UNIP,2017,21,ARQUITETURA E URBANISMO,2.6396,3
UNIP,2017,21,ARQUITETURA E URBANISMO,2.7922,3
CES/JF,2017,21,ARQUITETURA E URBANISMO,1.9998,3
PUC MINAS,2017,21,ARQUITETURA E URBANISMO,3.0041,4
PUC MINAS,2017,21,ARQUITETURA E URBANISMO,2.4694,3
NEWTON PAIVA,2017,21,ARQUITETURA E URBANISMO,2.9493,4
UNA,2017,21,ARQUITETURA E URBANISMO,3.1924,4
UNA,2017,21,ARQUITETURA E URBANISMO,,SC
UNI-BH,2017,21,ARQUITETURA E URBANISMO,3.1578,4
UNIPÊ,2017,21,ARQUITETURA E URBANISMO,2.177,3
UTP,2017,21,ARQUITETURA E URBANISMO,3.6748,4
,2017,21,ARQUITETURA E URBANISMO,1.3304,2
,2017,21,ARQUITETURA E URBANISMO,2.3572,3
UNAMA,2017,21,ARQUITETURA E URBANISMO,2.5286,3
UNIEVANGÉLICA,2017,21,ARQUITETURA E URBANISMO,3.0992,4
UNIFACS,2017,21,ARQUITETURA E URBANISMO,3.0927,4
UNI-ANHANGÜERA,2017,21,ARQUITETURA E URBANISMO,2.5825,3
UCDB,2017,21,ARQUITETURA E URBANISMO,2.147,3
FRB WYDEN,2017,21,ARQUITETURA E URBANISMO,2.4884,3
UNIT,2017,21,ARQUITETURA E URBANISMO,2.811,3
UNICEUB,2017,21,ARQUITETURA E URBANISMO,2.2785,3
UNICEUB,2017,21,ARQUITETURA E URBANISMO,1.4159,2
UCB,2017,21,ARQUITETURA E URBANISMO,3.1559,4
FCHE,2017,21,ARQUITETURA E URBANISMO,2.7337,3
UNICID,2017,21,ARQUITETURA E URBANISMO,3.1813,4
UNIMAR,2017,21,ARQUITETURA E URBANISMO,2.2084,3
URI,2017,21,ARQUITETURA E URBANISMO,2.6415,3
URI,2017,21,ARQUITETURA E URBANISMO,2.9214,3
URI,2017,21,ARQUITETURA E URBANISMO,2.7253,3
UNIFRA,2017,21,ARQUITETURA E URBANISMO,2.6748,3
UNIFIL,2017,21,ARQUITETURA E URBANISMO,2.5262,3
UNIPAR,2017,21,ARQUITETURA E URBANISMO,2.3832,3
UNIPAR,2017,21,ARQUITETURA E URBANISMO,2.3401,3
UNIPAR,2017,21,ARQUITETURA E URBANISMO,2.5221,3
UNIPAR,2017,21,ARQUITETURA E URBANISMO,1.9208,2
UNC,2017,21,ARQUITETURA E URBANISMO,2.134,3
UNICRUZ,2017,21,ARQUITETURA E URBANISMO,2.409,3
UNIRITTER,2017,21,ARQUITETURA E URBANISMO,2.9137,3
ULBRA,2017,21,ARQUITETURA E URBANISMO,2.2099,3
ULBRA,2017,21,ARQUITETURA E URBANISMO,3.2095,4
ULBRA,2017,21,ARQUITETURA E URBANISMO,3.1895,4
