Ano,Nome da IES,Sigla da IES,Categ. Administrativa,UF da IES,IGC (Contínuo),IGC (faixa)
2014,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,MT,3.099,4
2014,UNIVERSIDADE DE BRASÍLIA,UNB,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,DF,4.015,5
2014,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,SE,3.019,4
2014,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,AM,2.788,3
2014,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,PI,2.717,3
2014,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,MG,3.489,4
2014,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,SP,3.974,5
2014,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,MG,4.099,5
2014,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PESSOA JURÍDICA DE DIREITO PÚBLICO - ESTADUAL,PR,3.669,4
2014,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,PRIVADA SEM FINS LUCRATIVOS,PR,2.878,3
2014,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PRIVADA SEM FINS LUCRATIVOS,PE,2.499,3
2014,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,RS,3.216,4
2014,UNIVERSIDADE DE CAXIAS DO SUL,UCS,PRIVADA SEM FINS LUCRATIVOS,RS,2.896,3
2014,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,PRIVADA SEM FINS LUCRATIVOS,RS,3.581,4
2014,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,PRIVADA SEM FINS LUCRATIVOS,RJ,2.624,3
2014,UNIVERSIDADE GAMA FILHO - DESCREDENCIADA (DESPACHO SERES Nº 2 DE 13/01/2014),UGF,PESSOA JURÍDICA DE DIREITO PRIVADO - COM FINS LUCRATIVOS - SOCIEDADE MERCANTIL OU COMERCIAL,RJ,,
2014,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,PESSOA JURÍDICA DE DIREITO PÚBLICO - FEDERAL,MG,3.617,4
2014,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,PRIVADA SEM FINS LUCRATIVOS,RS,3.072,4
2014,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,PRIVADA SEM FINS LUCRATIVOS,SP,2.659,3
2014,UNIVERSIDADE DE PASSO FUNDO,UPF,PRIVADA SEM FINS LUCRATIVOS,RS,2.768,3
2014,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,PRIVADA SEM FINS LUCRATIVOS,RS,3.511,4
