Ano,Nome da IES,Sigla da IES,Categ. Administrativa,UF da IES,IGC (Contínuo),IGC (faixa)
2015,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pessoa Jurídica de Direito Público - Federal,MT,3.0586,4
2015,UNIVERSIDADE DE BRASÍLIA,UNB,Pessoa Jurídica de Direito Público - Federal,DF,3.9767,5
2015,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pessoa Jurídica de Direito Público - Federal,SE,3.0573,4
2015,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pessoa Jurídica de Direito Público - Federal,AM,2.8231,3
2015,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pessoa Jurídica de Direito Público - Federal,PI,2.814,3
2015,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pessoa Jurídica de Direito Público - Federal,MG,3.4313,4
2015,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pessoa Jurídica de Direito Público - Federal,SP,3.9809,5
2015,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pessoa Jurídica de Direito Público - Federal,MG,4.0525,5
2015,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pessoa Jurídica de Direito Público - Estadual,PR,3.5981,4
2015,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Privada sem fins lucrativos,PR,2.991,4
2015,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada sem fins lucrativos,PE,2.6718,3
2015,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pessoa Jurídica de Direito Público - Federal,RS,3.2916,4
2015,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada sem fins lucrativos,RS,2.8195,3
2015,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Privada sem fins lucrativos,RS,3.5159,4
2015,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Privada sem fins lucrativos,RJ,2.5473,3
2015,UNIVERSIDADE GAMA FILHO - DESCREDENCIADA (DESPACHO SERES Nº 2 DE 13/01/2014),UGF,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,RJ,,SC
2015,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pessoa Jurídica de Direito Público - Federal,MG,3.6484,4
2015,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Privada sem fins lucrativos,RS,3.0091,4
2015,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Privada sem fins lucrativos,SP,2.6436,3
2015,UNIVERSIDADE DE PASSO FUNDO,UPF,Privada sem fins lucrativos,RS,2.6474,3
2015,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Privada sem fins lucrativos,RS,3.4953,4
2015,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,SP,3.0486,4
2015,UNIVERSIDADE FEEVALE,FEEVALE,Privada sem fins lucrativos,RS,3.0273,4
2015,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Pessoa Jurídica de Direito Público - Estadual,BA,3.1548,4
2015,UNIVERSIDADE VALE DO RIO VERDE,UNINCOR,Privada sem fins lucrativos,MG,2.6321,3
2015,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Pessoa Jurídica de Direito Público - Estadual,CE,2.817,3
2015,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Privada sem fins lucrativos,MG,2.4077,3
2015,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Pessoa Jurídica de Direito Público - Estadual,AL,2.3731,3
2015,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Pessoa Jurídica de Direito Público - Estadual,BA,2.3766,3
2015,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pessoa Jurídica de Direito Público - Estadual,SC,3.4242,4
