Ano,Nome da IES,Sigla da IES,Categ. Administrativa,UF da IES,IGC (Contínuo),IGC (Faixa)
2017,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,MT,3.1076911422074,4
2017,UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,DF,3.96367096636498,5
2017,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Pública Federal,SE,3.17784954259007,4
2017,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Pública Federal,AM,2.93943387969904,3
2017,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Pública Federal,PI,2.86631925174877,3
2017,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Pública Federal,MG,3.38279541229282,4
2017,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública Federal,SP,4.04988370388067,5
2017,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,MG,4.06422534828711,5
2017,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Pública Estadual,PR,3.68745482260617,4
2017,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Privada Sem Fins Lucrativos,PR,3.21625383545679,4
2017,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Privada Sem Fins Lucrativos,PE,2.82545237116527,3
2017,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,RS,3.46193117198607,4
2017,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Privada Sem Fins Lucrativos,RS,2.90954489507266,3
2017,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Privada Sem Fins Lucrativos,RS,3.50885396256956,4
2017,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Privada Sem Fins Lucrativos,RJ,2.68805526554619,3
2017,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Pública Federal,MG,3.69795249544489,4
2017,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Privada Sem Fins Lucrativos,RS,2.79942844087177,3
2017,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Privada Sem Fins Lucrativos,SP,2.61946735892429,3
2017,UNIVERSIDADE DE PASSO FUNDO,UPF,Privada Sem Fins Lucrativos,RS,2.77733612202342,3
